2003,810,1232,0
2013,810,1232,0
2008,1310,1213,0
2004,650,1213,0
2014,1150,1232,0
2014,810,1232,0
2014,486,1232,0
2009,1330,1213,1
2009,910,1232,0
2006,1310,1232,0
2002,840,1232,0
2010,560,1232,0
2011,1150,1213,0
2011,311,1213,0
2010,810,1213,0
2005,1320,1232,0
2004,1110,1213,0
2007,910,1232,0
2012,910,1213,1
2013,1150,1232,0
2003,2820,1232,0
2014,486,1232,0
2014,890,1232,0
2014,890,1232,0
2014,610,1232,0
2014,1310,1232,0
2014,2093,1232,1
2014,1812,1232,1
2014,1153,1232,0
2014,820,1232,0
2014,2825,1232,0
2014,1320,1232,0
2014,560,1232,0
2014,890,1232,0
2014,930,1232,0
2014,1320,1232,0
2014,2820,1232,0
2006,520,1213,1
2013,910,1232,0
2002,910,1232,0
2008,4387,1213,0
2011,2820,1213,0
2013,610,1232,0
2013,486,1232,0
2007,486,1232,0
2013,890,1232,0
2005,1350,1232,1
2003,810,1232,0
2004,2825,1232,0
2006,1320,1232,0
2005,511,1213,0
2010,1330,1232,1
2007,4387,1232,0
2008,1152,1232,0
2009,820,1232,0
2012,460,1213,1
2012,820,1213,0
2013,610,1232,0
2013,890,1232,0
2013,460,1232,0
2013,1365,1232,0
2013,820,1232,0
2013,910,1232,0
2013,820,1232,0
2013,843,1232,0
2013,890,1232,0
2013,1320,1232,0
2013,1320,1232,0
2013,1320,1232,0
2013,1320,1232,0
2013,820,1232,0
2013,820,1232,0
2013,820,1232,0
2013,910,1232,0
2013,820,1232,0
2013,1320,1232,0
2013,486,1232,0
2013,460,1232,0
2009,1750,1213,0
2009,2825,1232,0
2009,2170,1232,1
2009,820,1232,0
2009,430,1232,0
2009,2820,1232,0
2009,620,1232,0
2009,810,1213,0
2009,890,1213,0
2009,890,1232,0
2009,1812,1213,1
2009,1310,1213,0
2009,820,1232,0
2009,890,1232,0
2009,2826,1232,0
2009,460,1213,1
2009,560,1213,0
2009,460,1232,0
2013,560,1232,0
2013,920,1232,0
2013,610,1232,0
2013,340,1232,1
2013,810,1232,0
2013,545,1232,1
2013,560,1232,1
2013,890,1232,0
2013,281,1232,0
2013,2820,1232,0
2013,1310,1232,0
2013,1130,1232,0
2013,1310,1232,0
2013,320,1232,0
2013,1310,1232,0
2013,560,1232,1
2013,2820,1232,0
2013,820,1232,0
2013,1210,1232,0
